  19 11  2  2  2  2  4  4  4  4  0.096  0.221  2  4
  20 10  1  1  1  1  4  4  4  4  0.039  0.448  1  4
  21  5  4  4  4  4  3  3  2  2  0.141  0.155  4  3
  22 24  2  2  2  4  1  2  2  2  0.090  0.072  2  2
  23 25  3  3  3  3  4  4  4  4  0.095  0.278  3  4
  24  1  4  3  3  3  2  2  2  2  0.107  0.258  4  2
  25 25  5  5  5  5  1  1  2  1  0.261  0.030  5  1
  26 11  3  3  4  3  3  3  3  3  0.204  0.186  3  3
  27 15  1  1  1  1  4  4  4  4  0.013  0.373  1  4
  28 19  1  1  1  1  2  3  1  2  0.003  0.141  1  3
  29  9  3  3  2  3  5  5  3  4  0.100  0.343  2  5
  30 16  4  5  5  5  1  2  1  3  0.269  0.073  5  1
  31 14  2  3  3  2  1  1  2  2  0.087  0.016  3  1
  32 13  1  1  1  1  5  5  4  4  0.004  0.345  1  4
  33  9  1  1  1  1  3  3  5  2  0.027  0.187  1  3
  34  5  2  2  2  2  1  1  1  1  0.057  0.074  1  1
  35  8  3  3  3  3  3  3  4  3  0.244  0.150  3  3
  36 22  1  1  1  1  3  2  4  5  0.012  0.247  1  4
  37 18  2  2  1  2  4  3  3  3  0.032  0.236  1  5
  38  4  2  2  2  1  2  2  3  2  0.096  0.121  2  2
  39 12  4  4  4  4  1  2  2  2  0.143  0.054  4  1
  40 25  2  2  2  2  3  3  3  3  0.062  0.108  2  3
  41 18  5  5  5  5  3  4  4  5  0.264  0.188  5  3
  42 24  1  1  1  1  4  4  4  4  0.028  0.161  1  4
  43  2  2  2  2  2  2  2  1  2  0.070  0.066  2  1
  44  7  1  1  1  1  3  3  3  3  0.042  0.181  1  3
  45 22  5  5  5  5  1  1  1  1  0.378  0.110  5  1
  46 21  2  3  2  2  4  3  2  3  0.105  0.333  2  2
  47  9  2  2  4  2  4  4  2  5  0.104  0.315  3  4
  48 23  1  1  1  1  4  4  5  5  0.007  0.422  1  5
  49 21  3  2  3  3  3  5  5  5  0.118  0.391  3  4
  50 17  3  3  3  3  4  3  3  3  0.155  0.313  3  3
  51 13  4  4  4  4  3  3  3  3  0.154  0.205  4  3
  52  3  3  4  4  3  4  5  5  5  0.260  0.419  3  5
  53 20  3  3  3  3  3  3  3  3  0.264  0.204  4  3
  54  2  4  5  5  5  1  1  2  1  0.360  0.075  4  2
  55  4  1  1  1  2  1  1  1  1  0.040  0.083  1  1
  56 10  2  3  4  3  5  5  5  5  0.193  0.501  4  5
  57  8  1  1  1  1  5  5  1  5  0.007  0.627  1  5
  58 18  1  1  2  1  1  1  2  2  0.043  0.220  2  4
  59 11  4  4  3  4  2  2  2  2  0.241  0.054  5  2
  60  8  5  5  5  5  2  2  2  2  0.565  0.083  5  2
  61  3  4  5  5  4  1  1  1  1  0.271  0.040  4  2
  62 17  5  5  5  5  1  1  1  1  0.622  0.055  5  1
  63  2  3  3  3  3  5  5  5  5  0.089  0.445  3  5
  64  7  5  4  5  4  5  5  5  5  0.219  0.541  5  5
  65 12  2  2  2  2  5  5  5  5  0.096  0.576  2  5
  66  7  3  3  3  3  2  2  2  2  0.126  0.081  3  2
  67 22  3  2  2  3  5  4  3  3  0.100  0.177  3  2
  68  5  1  1  1  1  5  5  4  4  0.063  0.214  2  5
  69  1  5  5  5  5  4  3  4  4  0.153  0.393  5  3
  70  2  1  1  1  1  4  4  4  4  0.004  0.279  1  4
  71 11  1  1  1  1  5  5  5  5  0.012  0.379  1  5
  72 20  5  5  5  5  2  2  2  2  0.273  0.050  5  2
  73 24  3  3  3  3  5  5  5  5  0.123  0.301  3  5
  74 17  4  4  4  4  3  4  4  4  0.216  0.336  4  4
  75  6  2  3  2  2  4  4  4  4  0.229  0.293  4  5
  76  9  4  4  3  4  2  2  4  3  0.130  0.165  4  2
  77 19  5  5  5  5  1  1  3  1  0.350  0.130  5  2
  78  6  1  1  1  1  5  5  2  5  0.100  0.285  1  4
  79  7  2  2  2  2  4  4  4  4  0.091  0.255  2  4
  80 17  2  2  2  2  5  5  5  5  0.117  0.600  2  5
  81 17  1  1  1  1  2  2  2  2  0.026  0.149  1  2
